2024-07-03 11:13:01.798 +08:00 [Information] (1)  - Connect - "System - Connecting to localhost"
2024-07-03 11:13:02.281 +08:00 [Information] (1)  - Connect - "System - Connected"
2024-07-03 11:13:06.919 +08:00 [Information] (1)  - "PostDataResponse" - "No connection could be made because the target machine actively refused it. (localhost:5087)"
2024-07-03 11:13:06.939 +08:00 [Information] (1)  - "PostDataResponse" - "No connection could be made because the target machine actively refused it. (localhost:5087)"
2024-07-03 11:13:16.150 +08:00 [Information] (15)  - "PostDataResponse" - "No connection could be made because the target machine actively refused it. (localhost:5087)"
2024-07-03 11:13:21.122 +08:00 [Information] (9)  - "PostDataResponse" - "No connection could be made because the target machine actively refused it. (localhost:5087)"
2024-07-03 11:13:26.232 +08:00 [Information] (15)  - "PostDataResponse" - "No connection could be made because the target machine actively refused it. (localhost:5087)"
2024-07-03 11:13:27.281 +08:00 [Warning] (1)  - '"MessageAreaPlaceholder"' property not found on '"ZWave.LocalizationResourceManager"', target property: '"ZWave.Controls.CustomEditor"."Placeholder"'
2024-07-03 11:13:29.055 +08:00 [Information] (1)  - UserActivity - "User unknown - Clicked - System button"
2024-07-03 11:13:29.220 +08:00 [Information] (1)  - UserActivity - "User unknown - System Page Navigate - Laser tab page"
2024-07-03 11:13:29.355 +08:00 [Information] (1)  - UserActivity - "User unknown - System Page Navigate - Laser Basic sub tab page"
2024-07-03 11:13:29.355 +08:00 [Information] (1)  - Fetching - "System - Fetch LaserBasic Data"
2024-07-03 11:13:29.555 +08:00 [Information] (1)  - UserActivity - "User unknown - Clicked - System button"
2024-07-03 11:13:29.561 +08:00 [Information] (1)  - UserActivity - "User unknown - Clicked - System button"
2024-07-03 11:13:29.616 +08:00 [Information] (1)  - Fetching - "System - Receive LaserBasic Data: {\"IsOutputEnabled\":true,\"AttenuatorPercentage\":2.22123,\"PPDivider\":3.32123,\"PulseDuration\":4.42123,\"PresetControl\":1}"
2024-07-03 11:13:31.134 +08:00 [Information] (25)  - "PostDataResponse" - "No connection could be made because the target machine actively refused it. (localhost:5087)"
2024-07-03 11:13:31.589 +08:00 [Information] (1)  - UserActivity - "User unknown - Login"
2024-07-03 11:13:35.087 +08:00 [Warning] (1)  - 'null' cannot be converted to type '"CommonLib.Enums.ModelSelect"'
2024-07-03 11:13:35.091 +08:00 [Warning] (1)  - 'null' cannot be converted to type '"CommonLib.Enums.MetricSelect"'
2024-07-03 11:13:36.145 +08:00 [Information] (27)  - "PostDataResponse" - "No connection could be made because the target machine actively refused it. (localhost:5087)"
2024-07-03 11:13:41.157 +08:00 [Information] (29)  - "PostDataResponse" - "No connection could be made because the target machine actively refused it. (localhost:5087)"
2024-07-03 11:13:41.258 +08:00 [Information] (1)  - UserActivity - "User unknown - System Vision Page Selected - Circle Shape"
2024-07-03 11:13:41.258 +08:00 [Information] (1)  - UserActivity - "User unknown - System Vision Page Clicked - Discard ROI button"
2024-07-03 11:13:41.260 +08:00 [Information] (1)  - UserActivity - "User unknown - System Vision Page Clicked - Discard ROI button"
2024-07-03 11:13:41.260 +08:00 [Information] (1)  - UserActivity - "User unknown - System Vision Page Clicked - Discard ROI button"
2024-07-03 11:13:41.261 +08:00 [Information] (1)  - Connect - "System - OnMessageHandlerGeneralMessageReceived - 0"
2024-07-03 11:13:46.162 +08:00 [Information] (28)  - "PostDataResponse" - "No connection could be made because the target machine actively refused it. (localhost:5087)"
2024-07-03 11:13:51.174 +08:00 [Information] (26)  - "PostDataResponse" - "No connection could be made because the target machine actively refused it. (localhost:5087)"
