2024-07-03 11:15:02.529 +08:00 [Information] (1)  - Connect - "System - Connecting to localhost"
2024-07-03 11:15:03.710 +08:00 [Information] (1)  - Connect - "System - Connected"
2024-07-03 11:15:07.997 +08:00 [Information] (1)  - "PostDataResponse" - "No connection could be made because the target machine actively refused it. (localhost:5087)"
2024-07-03 11:15:08.008 +08:00 [Information] (1)  - "PostDataResponse" - "No connection could be made because the target machine actively refused it. (localhost:5087)"
2024-07-03 11:15:17.224 +08:00 [Information] (18)  - "PostDataResponse" - "No connection could be made because the target machine actively refused it. (localhost:5087)"
2024-07-03 11:15:22.186 +08:00 [Information] (14)  - "PostDataResponse" - "No connection could be made because the target machine actively refused it. (localhost:5087)"
2024-07-03 11:15:27.198 +08:00 [Information] (18)  - "PostDataResponse" - "No connection could be made because the target machine actively refused it. (localhost:5087)"
2024-07-03 11:15:32.682 +08:00 [Information] (14)  - "PostDataResponse" - "No connection could be made because the target machine actively refused it. (localhost:5087)"
2024-07-03 11:15:37.222 +08:00 [Information] (18)  - "PostDataResponse" - "No connection could be made because the target machine actively refused it. (localhost:5087)"
2024-07-03 11:15:42.188 +08:00 [Information] (18)  - "PostDataResponse" - "No connection could be made because the target machine actively refused it. (localhost:5087)"
2024-07-03 11:15:47.214 +08:00 [Information] (14)  - "PostDataResponse" - "No connection could be made because the target machine actively refused it. (localhost:5087)"
2024-07-03 11:15:51.387 +08:00 [Information] (1)  - UserActivity - "User unknown - Clicked - System button"
2024-07-03 11:15:51.459 +08:00 [Information] (1)  - UserActivity - "User unknown - System Page Navigate - Laser tab page"
2024-07-03 11:15:51.535 +08:00 [Information] (1)  - UserActivity - "User unknown - System Page Navigate - Laser Basic sub tab page"
2024-07-03 11:15:51.535 +08:00 [Information] (1)  - Fetching - "System - Fetch LaserBasic Data"
2024-07-03 11:15:51.690 +08:00 [Information] (1)  - UserActivity - "User unknown - Clicked - System button"
2024-07-03 11:15:51.712 +08:00 [Information] (1)  - Fetching - "System - Receive LaserBasic Data: {\"IsOutputEnabled\":true,\"AttenuatorPercentage\":2.22123,\"PPDivider\":3.32123,\"PulseDuration\":4.42123,\"PresetControl\":1}"
2024-07-03 11:15:52.235 +08:00 [Information] (25)  - "PostDataResponse" - "No connection could be made because the target machine actively refused it. (localhost:5087)"
2024-07-03 11:15:54.031 +08:00 [Information] (1)  - UserActivity - "User unknown - Login"
2024-07-03 11:15:57.212 +08:00 [Information] (25)  - "PostDataResponse" - "No connection could be made because the target machine actively refused it. (localhost:5087)"
2024-07-03 11:16:02.193 +08:00 [Information] (25)  - "PostDataResponse" - "No connection could be made because the target machine actively refused it. (localhost:5087)"
